# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.0 Build 991 11/28/2023 SC Lite Edition
# File: /home/dio/OneDrive/Cave/Projects/2024.2-UFRN/Courses/Circuitos Logicos/Atividades/Atividade 2.5/ULA/output_files/ula_16b.csv
# Generated on: Mon Dec  9 15:03:44 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX1[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
HEX1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
HEX1[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
HEX2[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
HEX2[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
HEX2[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
HEX2[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
HEX2[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
HEX2[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
HEX2[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
HEX3[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
HEX3[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
HEX3[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
HEX3[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
HEX3[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
HEX3[1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
HEX3[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
HEX4[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
HEX4[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
HEX4[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
HEX4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
HEX4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
HEX4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
HEX4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
HEX5[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
HEX5[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
HEX5[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
HEX5[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
HEX5[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
HEX5[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
HEX5[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
HEX6[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
HEX6[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
HEX6[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
HEX6[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
HEX6[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
HEX6[1],Output,PIN_A3,8,B8_N2,PIN_A3,2.5 V,,,,,
HEX6[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
HEX7[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
HEX7[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
HEX7[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
HEX7[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
HEX7[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
HEX7[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
HEX7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
KEY[2],Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
KEY[1],Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
KEY[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
LEDG[7],Output,,,,PIN_C17,,,,,,
LEDG[6],Output,,,,PIN_G15,,,,,,
LEDG[5],Output,,,,PIN_R1,,,,,,
LEDG[4],Output,,,,PIN_D13,,,,,,
LEDG[3],Output,,,,PIN_AF15,,,,,,
LEDG[2],Output,,,,PIN_AE16,,,,,,
LEDG[1],Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,
LEDG[0],Output,PIN_F27,6,B6_N1,PIN_F27,2.5 V,,,,,
LEDR[9],Output,,,,PIN_AD28,,,,,,
LEDR[8],Output,,,,PIN_AE26,,,,,,
LEDR[7],Output,,,,PIN_V23,,,,,,
LEDR[6],Output,,,,PIN_V25,,,,,,
LEDR[5],Output,,,,PIN_V26,,,,,,
LEDR[4],Output,,,,PIN_AF27,,,,,,
LEDR[3],Output,,,,PIN_V28,,,,,,
LEDR[2],Output,,,,PIN_AD22,,,,,,
LEDR[1],Output,,,,PIN_V27,,,,,,
LEDR[0],Output,,,,PIN_AE28,,,,,,
OP_SW[2],Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
OP_SW[1],Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
OP_SW[0],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
SW[15],Input,,,,PIN_AE27,,,,,,
SW[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
SW[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
SW[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
SW[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
SW[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
SW[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
SW[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
SW[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
SW[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
SW[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
SW[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
SW[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
SW[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
SW[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
SW[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
